vaccine_label,Taxon_clean,Control,FeSO4,SQM® Iron,FeSO4_abs_change,SQM_abs_change
Unvaccinated,Akkermansia,0,0,0,0,0
Unvaccinated,Alistipes,1.8655450931503639,4.700921545328083,1.6629076996315806,2.8353764521777194,-0.2026373935187833
Unvaccinated,Allofournierella,0.0263042525208242,0.08643178090009246,0.23061532078744773,0.060127528379268255,0.20431106826662354
Unvaccinated,Anaerofilum,0,0.07108332698291231,0.05866012266482646,0.07108332698291231,0.05866012266482646
Unvaccinated,Anaerostipes,1.5210347270260671,0.45406322044974046,0.9235284043997521,-1.0669715065763268,-0.597506322626315
Unvaccinated,Angelakisella,0.038955979742890535,0,0,-0.038955979742890535,-0.038955979742890535
Unvaccinated,Bacillus,0.103864701852424,0.0077881619937694695,0.10333623635023784,-0.09607653985865452,-5.284655021861595e-4
Unvaccinated,Bacteroides,35.91325472017532,29.540895308797406,35.07808003466573,-6.372359411377911,-0.8351746855095854
Unvaccinated,Barnesiella,1.2268233569897988,0.971100654000253,1.0051334549860587,-0.2557227029895458,-0.22168990200374017
Unvaccinated,Bilophila,0.22605446061215018,0.05584098132570874,0,-0.17021347928644143,-0.22605446061215018
Unvaccinated,Blautia,0.24499535105017364,0.18177087077289197,0.31512015023865214,-0.06322448027728167,0.0701247991884785
Unvaccinated,Brachybacterium,0.02573961379430391,0,0,-0.02573961379430391,-0.02573961379430391
Unvaccinated,Butyricicoccus,0.8647123362018418,0.4446136522408672,0.5723998685609089,-0.42009868396097466,-0.292312467640933
Unvaccinated,Butyricimonas,0.08873527272844027,0.9190899606021093,0.1823957314584438,0.8303546878736691,0.09366045873000352
Unvaccinated,Campylobacter,0.20565077490371472,0,0.01694915254237288,-0.20565077490371472,-0.18870162236134183
Unvaccinated,Candidatus Stoquefichus,0.03225145012272744,0.13423905094952077,0.143425550197011,0.10198760082679333,0.11117410007428356
Unvaccinated,Catenibacillus,0.008768084173608066,0.07098381366916741,0.09028067602451025,0.06221572949555934,0.08151259185090218
Unvaccinated,Cerasicoccus,0.4269498682239684,3.3045406493709226,2.048440528924276,2.8775907811469543,1.621490660700308
Unvaccinated,Colidextribacter,0.8876805407331626,0.8946235424880569,0.59535177960797,0.006943001754894262,-0.29232876112519257
Unvaccinated,Desulfovibrio,0.8215786697877046,1.3930922615645882,2.2644095514341145,0.5715135917768837,1.44283088164641
Unvaccinated,Enterorhabdus,0.07218431809064793,0.05507175488642141,0.03130266843402688,-0.017112563204226522,-0.04088164965662105
Unvaccinated,Faecalibacterium,4.201090809778984,1.5474364520776789,3.928944274297346,-2.6536543577013054,-0.2721465354816379
Unvaccinated,Faecalicoccus,0,0,0,0,0
Unvaccinated,Flavonifractor,0.3175210402979712,0.13488609174811148,0.33321004726881265,-0.1826349485498597,0.015689006970841468
Unvaccinated,Frisingicoccus,0.1796717173071595,0.4426211675627785,0.040070152890459745,0.262949450255619,-0.13960156441669974
Unvaccinated,Gordonibacter,0,0.007961783439490448,0.023715415019762848,0.007961783439490448,0.023715415019762848
Unvaccinated,Helicobacter,0.8260758737626726,0.4102046681286188,0.4967099126286635,-0.4158712056340538,-0.32936596113400907
Unvaccinated,Intestinimonas,0.7528359352543825,0.42863178426781995,0.44518991992788554,-0.3242041509865626,-0.307646015326497
Unvaccinated,Lactobacillus,5.223903969321961,2.823306723285074,1.4618378678036739,-2.400597246036887,-3.7620661015182875
Unvaccinated,Ligilactobacillus,0.1472335923161897,2.9176460798245234,0.732798936456449,2.7704124875083336,0.5855653441402593
Unvaccinated,Limosilactobacillus,0,0.015923566878980895,0.024927295388450354,0.015923566878980895,0.024927295388450354
Unvaccinated,Mailhella,0.10032424347375317,0.09533803351805775,0.13867908833410023,-0.004986209955695417,0.038354844860347057
Unvaccinated,Merdibacter,0.008203445447087777,0.054823392784297,0.0328324337283713,0.04661994733720923,0.024628988281283525
Unvaccinated,Methanobrevibacter,4.821519121443715,0,0,-4.821519121443715,-4.821519121443715
Unvaccinated,Methanocorpusculum,0,0,0,0,0
Unvaccinated,Methanomassiliicoccus,0.09889851304908519,0.06301122224357199,0.10739588869612994,-0.0358872908055132,0.008497375647044753
Unvaccinated,Monoglobus,0.3766669514252988,0.38888091728365815,0.4609341500590073,0.012213965858359321,0.08426719863370846
Unvaccinated,Mucispirillum,0.2790007474103759,0,0,-0.2790007474103759,-0.2790007474103759
Unvaccinated,Negativibacillus,0.8525907244127913,0.3713844900927041,0.6500184785575103,-0.4812062343200872,-0.202572245855281
Unvaccinated,Odoribacter,0.18367855510129263,0.6415584597009213,0.649828783980688,0.4578799045996287,0.4661502288793954
Unvaccinated,Oscillibacter,0.42112777403580204,0.3015061350110533,0.28182244692086666,-0.11962163902474876,-0.13930532711493537
Unvaccinated,Oscillospira,0.017536168347216132,0.05564785661726134,0.007587253414264037,0.03811168827004521,-0.009948914932952095
Unvaccinated,Parabacteroides,1.0079090345009347,2.1629161776914483,0.9353195763048221,1.1550071431905136,-0.07258945819611262
Unvaccinated,Parasutterella,1.7733104417801036,1.0801003865557939,0.8873302797541898,-0.6932100552243097,-0.8859801620259138
Unvaccinated,Peptococcus,0.015655577299412915,0,0.07114624505928854,-0.015655577299412915,0.05549066775987563
Unvaccinated,Phascolarctobacterium,4.085568383996846,6.558268335642693,9.582756038776939,2.472699951645847,5.497187654780093
Unvaccinated,Pseudoflavonifractor,0.008768084173608066,0,0,-0.008768084173608066,-0.008768084173608066
Unvaccinated,Pygmaiobacter,0.017536168347216132,0.08757961783439491,0,0.07004344948717878,-0.017536168347216132
