original_name,current_name,mapping_status,mapping_notes,validation_status,validation_notes
Erysipelotrichaceae,Erysipelotrichaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Gastranaerophilales,Gastranaerophilales,wrong_rank,Name found in NCBI but not at genus level,pending,
Izemoplasmatales,Izemoplasmatales,wrong_rank,Name found in NCBI but not at genus level,pending,
Muribaculaceae,Muribaculaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Staphylococcaceae,Staphylococcaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Victivallaceae,Victivallaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
