vaccine_label,Supplement,Taxon_clean,raw_pct,Pct
Unvaccinated,Control,Akkermansia,0,0
Unvaccinated,Control,Alistipes,1.8655450931503639,2.5178382069917906
Unvaccinated,Control,Allofournierella,0.0263042525208242,0.03550160875042067
Unvaccinated,Control,Anaerofilum,0,0
Unvaccinated,Control,Anaerostipes,1.5210347270260671,2.0528688177675067
Unvaccinated,Control,Angelakisella,0.038955979742890535,0.05257704814940239
Unvaccinated,Control,Bacillus,0.103864701852424,0.1401812883762687
Unvaccinated,Control,Bacteroides,35.91325472017532,48.4704257237686
Unvaccinated,Control,Barnesiella,1.2268233569897988,1.65578561075815
Unvaccinated,Control,Bilophila,0.22605446061215018,0.30509504159399986
Unvaccinated,Control,Blautia,0.24499535105017364,0.3306586679005429
Unvaccinated,Control,Brachybacterium,0.02573961379430391,0.03473954249750625
Unvaccinated,Control,Butyricicoccus,0.8647123362018418,1.167061448227692
Unvaccinated,Control,Butyricimonas,0.08873527272844027,0.11976181160339057
Unvaccinated,Control,Campylobacter,0.20565077490371472,0.2775571495168929
Unvaccinated,Control,Candidatus Stoquefichus,0.03225145012272744,0.04352826080058101
Unvaccinated,Control,Catenibacillus,0.008768084173608066,0.011833869583473555
Unvaccinated,Control,Cerasicoccus,0.4269498682239684,0.5762340962067397
Unvaccinated,Control,Colidextribacter,0.8876805407331626,1.198060550381424
Unvaccinated,Control,Desulfovibrio,0.8215786697877046,1.108845973456319
Unvaccinated,Control,Enterorhabdus,0.07218431809064793,0.09742376890357646
Unvaccinated,Control,Faecalibacterium,4.201090809778984,5.670014083680497
Unvaccinated,Control,Faecalicoccus,0,0
Unvaccinated,Control,Flavonifractor,0.3175210402979712,0.42854316935107956
Unvaccinated,Control,Frisingicoccus,0.1796717173071595,0.24249444101501114
Unvaccinated,Control,Gordonibacter,0,0
Unvaccinated,Control,Helicobacter,0.8260758737626726,1.1149156375102114
Unvaccinated,Control,Intestinimonas,0.7528359352543825,1.016067147526786
Unvaccinated,Control,Lactobacillus,5.223903969321961,7.050456754922714
Unvaccinated,Control,Ligilactobacillus,0.1472335923161897,0.19871423395096455
Unvaccinated,Control,Limosilactobacillus,0,0
Unvaccinated,Control,Mailhella,0.10032424347375317,0.13540289872017736
Unvaccinated,Control,Merdibacter,0.008203445447087777,0.011071803330559139
Unvaccinated,Control,Methanobrevibacter,4.821519121443715,6.507376907846206
Unvaccinated,Control,Methanocorpusculum,0,0
Unvaccinated,Control,Methanomassiliicoccus,0.09889851304908519,0.13347865762341696
Unvaccinated,Control,Monoglobus,0.3766669514252988,0.5083696154501358
Unvaccinated,Control,Mucispirillum,0.2790007474103759,0.37655414719717534
Unvaccinated,Control,Negativibacillus,0.8525907244127913,1.1507014806209837
Unvaccinated,Control,Odoribacter,0.18367855510129263,0.24790228096716713
Unvaccinated,Control,Oscillibacter,0.42112777403580204,0.568376290332471
Unvaccinated,Control,Oscillospira,0.017536168347216132,0.02366773916694711
Unvaccinated,Control,Parabacteroides,1.0079090345009347,1.3603272767602388
Unvaccinated,Control,Parasutterella,1.7733104417801036,2.393353449115241
Unvaccinated,Control,Peptococcus,0.015655577299412915,0.021129594144738303
Unvaccinated,Control,Phascolarctobacterium,4.085568383996846,5.514098915257819
Unvaccinated,Control,Pseudoflavonifractor,0.008768084173608066,0.011833869583473555
Unvaccinated,Control,Pygmaiobacter,0.017536168347216132,0.02366773916694711
Unvaccinated,Control,Rikenella,0.3323382870530842,0.4485413083075855
Unvaccinated,Control,Romboutsia,1.083507913135672,1.462359516951677
Unvaccinated,Control,Ruminococcus,0.28327539483194475,0.3823234371698287
Unvaccinated,Control,Sellimonas,0.40754322815189475,0.5500418695903947
Unvaccinated,Control,Shigella,0.16338105665720865,0.22050770483147686
Unvaccinated,Control,Shuttleworthella,0.17271377955733702,0.23310364066786485
Unvaccinated,Control,Staphylococcus,0.035072336694432264,0.04733547833389422
Unvaccinated,Control,Streptococcus,0,0
Unvaccinated,Control,Subdoligranulum,0.8958944947489481,1.209146536631423
Unvaccinated,Control,Sutterella,0.04798392418699765,0.06476163888131883
Unvaccinated,Control,Synergistes,0.008768084173608066,0.011833869583473555
Unvaccinated,Control,Thomasclavelia,0.21962450819506896,0.2964168381432718
Unvaccinated,Control,Turicibacter,0.12531485073419105,0.16913154243256248
Unvaccinated,Control,Victivallis,0,0
Unvaccinated,FeSO4,Akkermansia,0,0
Unvaccinated,FeSO4,Alistipes,4.700921545328083,6.3011521028190245
Unvaccinated,FeSO4,Allofournierella,0.08643178090009246,0.11585383689508078
Unvaccinated,FeSO4,Anaerofilum,0.07108332698291231,0.09528064890572222
Unvaccinated,FeSO4,Anaerostipes,0.45406322044974046,0.6086299013420312
Unvaccinated,FeSO4,Angelakisella,0,0
Unvaccinated,FeSO4,Bacillus,0.0077881619937694695,0.010439313409284038
Unvaccinated,FeSO4,Bacteroides,29.540895308797406,39.596847724289
Unvaccinated,FeSO4,Barnesiella,0.971100654000253,1.3016709317525035
Unvaccinated,FeSO4,Bilophila,0.05584098132570874,0.07484968926011093
Unvaccinated,FeSO4,Blautia,0.18177087077289197,0.24364710058608668
Unvaccinated,FeSO4,Brachybacterium,0,0
Unvaccinated,FeSO4,Butyricicoccus,0.4446136522408672,0.5959636260136865
Unvaccinated,FeSO4,Butyricimonas,0.9190899606021093,1.2319553904666691
Unvaccinated,FeSO4,Campylobacter,0,0
Unvaccinated,FeSO4,Candidatus Stoquefichus,0.13423905094952077,0.17993507656209337
Unvaccinated,FeSO4,Catenibacillus,0.07098381366916741,0.09514726047961981
